#{"t_start": 1511927494.6406977, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-18.0,1488,25.358543
-17.0,1612,52.236955
-18.0,1623,79.671138
-14.0,2230,117.125216
-17.0,1496,142.496096
-16.0,2031,176.455319
-14.0,1757,205.752858
-14.0,2134,242.253045
-19.0,1802,272.901665
-18.0,1855,303.863778
-18.0,1772,333.923256
-13.0,1921,367.091564
-16.0,1873,398.544797
-17.0,2103,434.010637
-18.0,1747,463.162361
-20.0,1559,489.341272
-15.0,1861,520.555926
-17.0,2053,555.526371
-16.0,2164,591.648814
-16.0,2176,628.419301
-13.0,1781,658.130435
-14.0,2119,693.46071
-16.0,2253,731.104813
-19.0,1533,756.675984
-19.0,1455,781.009416
-15.0,2120,816.584186
-17.0,1887,848.464252
-17.0,1721,877.189179
-9.0,2514,919.151052
-17.0,1640,946.828555
-17.0,1885,978.529261
-15.0,2131,1014.244359
-17.0,2058,1048.695586
-17.0,1884,1080.218364
-13.0,1895,1111.918256
-18.0,1673,1140.126555
-18.0,1899,1172.166563
-12.0,2257,1209.876155
-13.0,1971,1242.915956
-13.0,2095,1278.001398
-5.0,3463,1336.348898
-12.0,2577,1379.178688
-16.0,2296,1418.05057
-18.0,2112,1454.149738
-14.0,2143,1490.369252
-14.0,2222,1527.686857
-15.0,2302,1566.218323
-13.0,2389,1606.156291
-12.0,2169,1642.262415
-11.0,2559,1684.923131
-8.0,2566,1727.957716
-15.0,2176,1764.870108
-4.0,3317,1821.426685
6.0,2874,1869.423023
-7.0,2530,1912.290889
-5.0,3207,1965.84573
-7.0,3115,2017.902184
-10.0,2574,2061.030315
-9.0,3162,2114.570987
-12.0,2448,2155.285857
-6.0,3038,2205.899673
1.0,3321,2261.472472
-5.0,3368,2317.754695
1.0,3524,2376.858646
1.0,3290,2433.064034
4.0,3021,2483.804673
-3.0,3096,2536.017813
-1.0,3757,2598.032115
2.0,3595,2657.174123
-7.0,2439,2697.423667
2.0,3355,2752.792394
5.0,3052,2803.351551
6.0,2870,2850.96452
-7.0,2989,2900.385985
-7.0,2819,2947.000151
-9.0,2262,2984.507605
5.0,2742,3029.751015
11.0,2484,3070.803601
9.0,2508,3112.158926
13.0,2435,3152.522046
6.0,2952,3201.200092
8.0,2800,3247.296721
8.0,2730,3292.097959
10.0,2587,3335.108457
14.0,2067,3369.193656
15.0,2473,3409.9251
5.0,2678,3454.073542
-8.0,2364,3493.34189
9.0,2479,3534.241768
11.0,2460,3575.291978
