#{"t_start": 1511927495.056663, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1565,26.272185
-17.0,1753,55.499844
-21.0,1197,75.760975
-15.0,1675,103.846473
-18.0,1776,133.713277
-17.0,1625,161.22631
-18.0,1497,186.142588
-14.0,2591,229.97275
-21.0,1500,255.904224
-19.0,1567,281.98108
-15.0,1588,308.606507
-15.0,1901,341.1284
-18.0,1888,373.436841
-12.0,1944,406.008766
-13.0,2171,442.583964
-17.0,1681,470.717856
-16.0,1717,499.472431
-9.0,2500,541.653428
-16.0,1748,571.29068
-16.0,2226,608.478821
-15.0,2289,647.08546
-19.0,1858,678.018662
-12.0,1927,710.186402
-15.0,2074,744.779845
-15.0,1904,776.620245
-13.0,2377,816.525151
-15.0,2319,855.693075
-12.0,2240,892.945313
-15.0,1861,924.072553
-16.0,1993,957.647354
-10.0,2722,1003.45714
-14.0,1967,1036.426306
-6.0,3024,1086.939058
-7.0,2612,1130.849535
-15.0,2217,1168.295084
-14.0,2397,1208.306468
-17.0,2043,1242.602293
-15.0,2222,1279.820576
-15.0,2232,1317.261108
-16.0,2010,1351.036346
-12.0,2064,1385.356444
-15.0,1904,1417.718664
-4.0,3000,1468.938674
-20.0,1540,1494.822061
-14.0,2530,1537.31138
-11.0,2510,1579.234627
-9.0,2555,1621.868616
-9.0,2272,1659.816022
-2.0,3346,1715.790185
-12.0,2310,1754.838982
-11.0,2793,1802.257489
-13.0,2096,1837.740457
-12.0,2520,1879.950679
-3.0,3235,1934.377392
-7.0,2587,1977.657555
-15.0,2664,2022.248162
-6.0,3160,2075.068271
9.0,2541,2118.260448
1.0,3802,2181.561596
3.0,3397,2238.428007
-3.0,3187,2291.552641
-7.0,2635,2335.672752
5.0,3290,2391.053661
6.0,3252,2446.549613
-11.0,2809,2493.618547
-4.0,3294,2548.910898
3.0,3172,2601.278592
1.0,3387,2656.974124
-5.0,2446,2697.357061
10.0,2568,2739.765677
4.0,3055,2790.266603
13.0,2499,2831.695602
2.0,3075,2882.597395
-1.0,3248,2936.360619
-1.0,3013,2986.265494
3.0,2991,3035.64228
12.0,2267,3073.081609
12.0,2183,3109.023262
13.0,2346,3147.994312
10.0,2339,3186.562814
3.0,3148,3238.293691
6.0,2411,3277.922075
1.0,3532,3336.517483
5.0,3405,3392.633264
15.0,2276,3430.128581
-3.0,2620,3473.330594
12.0,2243,3510.626514
8.0,2342,3549.370635
6.0,3101,3600.850095
