#{"t_start": 1511927494.8485513, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1293,21.859291
-18.0,1574,48.140059
-18.0,1499,73.453819
-16.0,1968,106.493129
-17.0,1713,135.34257
-19.0,1668,163.482265
-18.0,1793,193.330433
-10.0,2444,234.846938
-16.0,1895,267.216191
-18.0,1838,297.894334
-14.0,1720,326.926594
-16.0,1722,356.925937
-17.0,1982,390.16773
-16.0,2136,425.964977
-14.0,2231,463.511755
-18.0,1620,490.68134
-19.0,1555,516.754595
-11.0,2689,562.502366
-16.0,1858,593.39164
-15.0,1921,625.862548
-13.0,2432,666.472425
-15.0,1944,698.910211
-17.0,1784,728.711426
-16.0,1821,759.159764
-15.0,2211,796.240508
-12.0,2709,841.75307
-14.0,2407,882.036879
-16.0,2088,916.865701
-14.0,2135,952.852137
-14.0,2099,988.137866
-12.0,2689,1033.286263
-13.0,2689,1078.203009
-16.0,1809,1108.429974
-15.0,2132,1144.370149
-18.0,2040,1178.774253
-15.0,2051,1213.061248
-11.0,2318,1251.989508
-16.0,1818,1282.382983
-15.0,2218,1319.575772
-18.0,1874,1351.047395
-11.0,2389,1390.815775
-14.0,2156,1427.562573
-15.0,2047,1462.611918
-17.0,1731,1491.744755
-12.0,2617,1535.666459
-12.0,2314,1574.331429
-15.0,2237,1611.685194
-4.0,3030,1662.257895
-5.0,3171,1715.309762
-11.0,2691,1760.782171
-12.0,2600,1805.003264
-6.0,3497,1863.744049
-13.0,2673,1909.043782
-11.0,2553,1951.65422
-10.0,2481,1993.093699
-5.0,3182,2046.34643
3.0,3228,2100.771089
-9.0,2794,2147.61203
4.0,3006,2197.688965
6.0,3226,2251.696407
-4.0,3349,2307.657387
2.0,3289,2362.720741
9.0,2683,2408.152748
-1.0,3987,2475.766528
4.0,3252,2530.607502
-6.0,2871,2577.866707
-2.0,3268,2631.851147
-7.0,2606,2674.804476
2.0,2767,2720.505058
3.0,3226,2773.858546
8.0,2704,2818.50513
-5.0,2705,2863.346654
8.0,2730,2908.596994
-1.0,3333,2963.880618
-15.0,1767,2992.983112
2.0,3195,3045.752671
3.0,2766,3091.427053
14.0,2137,3126.652074
11.0,2453,3167.314085
18.0,1864,3197.983798
8.0,2859,3245.049406
11.0,2868,3292.144676
2.0,3229,3345.763426
3.0,3106,3396.923485
11.0,2542,3438.894444
4.0,2701,3483.331492
-2.0,2978,3532.787572
-4.0,3224,3586.439093
