#{"t_start": 1511927495.1500876, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-13.0,1952,32.639503
-19.0,1507,57.74381
-16.0,1931,90.334932
-12.0,1850,121.430088
-17.0,1514,147.156342
-18.0,1689,175.337668
-18.0,1850,206.208697
-18.0,1839,237.645818
-16.0,2034,272.275705
-15.0,2179,308.740598
-15.0,1797,339.414865
-19.0,1546,366.020887
-13.0,2050,400.433965
-17.0,2020,434.504714
-16.0,2026,468.376675
-13.0,2297,506.902681
-14.0,2141,543.061687
-16.0,1831,574.045204
-16.0,2022,607.823112
-15.0,2006,641.694829
-13.0,2389,681.513914
-13.0,2065,715.973837
-16.0,1829,746.510642
-15.0,1893,778.165885
-14.0,2110,813.554009
-19.0,1802,843.968362
-13.0,2508,885.888571
-9.0,2787,932.485384
-8.0,2666,977.506196
-17.0,1903,1009.389696
-17.0,1597,1036.175345
-16.0,2106,1071.37228
-16.0,1764,1100.768445
-18.0,1679,1129.12308
-12.0,2118,1164.866575
-12.0,2459,1205.93923
-14.0,2192,1242.773838
-9.0,2869,1290.906322
-15.0,2167,1327.272604
-13.0,2284,1365.440472
-14.0,1936,1397.721006
-10.0,2802,1445.717139
-18.0,2133,1481.884397
-17.0,2199,1518.842395
-5.0,3309,1574.177195
-12.0,2200,1610.910565
-12.0,2142,1646.643853
-8.0,2576,1689.874335
-2.0,3648,1751.113021
-5.0,3260,1806.539448
-10.0,2563,1849.631619
-11.0,2748,1895.961207
-9.0,2878,1944.164032
-4.0,3224,1998.085646
-4.0,3840,2062.426859
-6.0,2988,2113.014893
-10.0,3053,2163.823464
-8.0,3180,2216.832798
-3.0,3241,2271.022455
-12.0,2553,2313.761438
-12.0,2301,2352.311745
-1.0,3134,2405.267762
-2.0,3167,2459.267442
1.0,3313,2514.954176
-11.0,2408,2554.977428
-4.0,2871,2602.422534
-14.0,2289,2639.99097
1.0,2865,2687.248069
2.0,3129,2738.936087
15.0,2188,2775.179102
4.0,2802,2821.509674
4.0,2633,2865.113378
11.0,2615,2908.445141
-7.0,2715,2953.502681
5.0,2712,2998.286079
6.0,2832,3045.005882
16.0,2008,3078.10942
2.0,2963,3127.050083
3.0,2861,3174.439324
18.0,2238,3211.259876
6.0,3036,3261.237001
6.0,2863,3308.355422
9.0,2963,3357.514634
18.0,1867,3388.280499
17.0,1967,3420.643452
-5.0,2543,3462.528848
10.0,2545,3504.802543
8.0,2660,3548.808017
9.0,2807,3595.451458
