#{"t_start": 1511927495.1368835, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1469,24.539456
-19.0,1392,47.7418
-19.0,1496,73.018585
-16.0,2153,109.212555
-18.0,1502,134.444088
-18.0,1539,160.469813
-15.0,1672,188.315336
-18.0,1871,219.685356
-16.0,1905,252.777354
-19.0,1816,283.053802
-15.0,1659,310.900276
-18.0,1558,337.452744
-18.0,1420,362.0378
-15.0,2445,403.091641
-18.0,2033,437.341975
-21.0,1487,462.173412
-12.0,2283,500.470546
-18.0,1717,529.374298
-9.0,2437,570.70926
-14.0,1866,601.861215
-15.0,1811,632.419676
-15.0,2114,667.733121
-20.0,1682,695.758124
-15.0,1800,725.833604
-15.0,1942,758.313174
-19.0,1609,785.102396
-16.0,1656,812.904658
-19.0,1735,842.239893
-14.0,2184,878.794768
-15.0,1723,907.517199
-17.0,1827,938.158593
-18.0,1853,969.506666
-8.0,2648,1013.863919
-12.0,2409,1054.167374
-16.0,1836,1084.854703
-15.0,2035,1119.00339
-16.0,2209,1156.327392
-13.0,2452,1197.346906
-11.0,2509,1239.432849
-14.0,2177,1275.8925
-15.0,1806,1306.241642
-11.0,2779,1352.8577
-18.0,2013,1386.345325
-16.0,1974,1419.907333
-15.0,2269,1458.657431
-12.0,2982,1508.89455
-12.0,2326,1547.86158
-13.0,2333,1586.910964
-9.0,2972,1636.511714
-9.0,3049,1687.343814
-7.0,2590,1730.842067
-10.0,2623,1775.316746
-7.0,3204,1829.885514
-6.0,3205,1883.517302
-4.0,3668,1945.170091
-5.0,3055,1996.221256
2.0,3094,2047.965579
-1.0,3225,2102.440785
-7.0,2644,2146.690534
-6.0,3496,2204.951949
-11.0,2403,2245.250016
-15.0,2212,2282.076863
-1.0,3250,2336.529812
10.0,2769,2383.000603
-4.0,3217,2437.947666
-1.0,3824,2502.181175
-6.0,3698,2563.957302
-1.0,3562,2622.726348
-7.0,2777,2668.452394
-12.0,1989,2701.277615
-5.0,2942,2749.779805
-4.0,3491,2807.602468
-7.0,2983,2857.092877
13.0,2433,2897.266432
-9.0,2799,2943.609199
-11.0,2547,2985.822728
1.0,3147,3037.832077
-7.0,2671,3081.89932
4.0,3218,3135.215238
8.0,2956,3183.952939
10.0,2850,3230.778739
10.0,2456,3271.169209
9.0,2471,3312.214571
15.0,2518,3353.738774
18.0,1918,3385.328664
15.0,2089,3419.741452
2.0,3075,3470.413119
5.0,3142,3522.524938
9.0,2490,3564.11753
