#{"t_start": 1511927495.2126799, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-16.0,1530,25.51664
-19.0,1486,50.25703
-16.0,1596,77.234482
-16.0,1825,107.911412
-16.0,1817,138.590815
-18.0,1698,167.107038
-16.0,1971,199.908858
-17.0,1664,228.143241
-18.0,1630,256.384011
-19.0,1391,279.540875
-18.0,1620,306.675345
-16.0,1985,340.573771
-15.0,2081,376.161118
-18.0,1774,405.887138
-16.0,2459,447.281234
-14.0,1894,478.999184
-17.0,1919,511.144828
-9.0,2672,556.572138
-13.0,2242,593.970518
-15.0,2178,630.732767
-16.0,1933,663.020978
-11.0,2214,699.95969
-15.0,1963,732.768627
-18.0,1773,762.365393
-16.0,1890,794.099837
-15.0,2143,830.037429
-17.0,1498,855.336617
-15.0,1975,888.197488
-18.0,1778,917.891556
-12.0,2479,959.592141
-16.0,2264,997.647571
-18.0,1876,1029.195192
-13.0,2512,1071.161003
-16.0,2229,1108.445991
-13.0,2554,1151.682559
-13.0,2291,1189.969803
-13.0,2451,1231.10353
-11.0,2614,1274.823699
-13.0,2276,1313.033452
-18.0,1895,1344.892462
-14.0,2354,1384.063009
-12.0,2776,1431.302431
-13.0,2487,1473.717845
-14.0,2514,1515.980428
-8.0,2841,1563.545534
-11.0,2477,1604.930657
-1.0,3473,1662.855518
-12.0,2224,1700.098051
-9.0,2682,1745.185713
-5.0,3445,1803.703817
-4.0,3080,1855.510594
-4.0,3241,1910.326088
-10.0,2476,1951.627034
-7.0,2757,1997.686893
-1.0,3281,2052.820199
-11.0,2250,2090.477191
-4.0,3021,2141.311053
-16.0,2218,2178.272241
-2.0,3531,2237.357567
-2.0,2956,2286.631978
-8.0,3189,2340.054592
2.0,3387,2397.133453
-4.0,3137,2450.631645
5.0,3060,2501.870125
-7.0,2487,2543.715784
5.0,3043,2593.994322
6.0,2643,2637.395061
-11.0,2135,2672.62774
3.0,3199,2725.46499
5.0,2986,2774.825816
-6.0,3294,2829.36902
3.0,3074,2880.24348
-3.0,3407,2936.647857
-9.0,2042,2970.506453
6.0,2771,3016.258025
10.0,2622,3059.537635
2.0,3142,3111.348716
10.0,2637,3155.075982
14.0,2322,3193.335304
5.0,2827,3239.851265
12.0,2393,3279.164704
8.0,3001,3328.971535
8.0,2870,3376.241206
12.0,2620,3419.451646
1.0,2849,3466.414501
2.0,3601,3526.129401
8.0,2401,3566.251066
