#{"t_start": 1511927495.0480337, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-16.0,1878,31.51649
-21.0,1350,53.993299
-17.0,1724,83.107531
-18.0,1631,110.527937
-18.0,1798,140.936921
-18.0,1567,167.197761
-16.0,1892,198.700354
-19.0,1666,226.872421
-13.0,2368,267.4842
-14.0,2228,304.719207
-15.0,1907,337.148864
-14.0,1797,368.124653
-19.0,1782,398.034186
-18.0,1775,427.738168
-14.0,2348,467.251137
-17.0,1830,497.915063
-16.0,1842,528.890144
-12.0,2100,564.677175
-12.0,2094,599.561482
-18.0,1716,628.621609
-17.0,1863,659.706827
-16.0,1908,691.507249
-15.0,2115,726.85023
-15.0,2079,761.573387
-16.0,1777,791.476505
-13.0,2206,828.387006
-12.0,2573,871.591407
-15.0,2169,907.795533
-13.0,2405,948.279592
-15.0,2010,982.047887
-14.0,2359,1021.613715
-12.0,2141,1057.43244
-16.0,1797,1087.465422
-16.0,2097,1122.707268
-7.0,2660,1167.594327
-13.0,2641,1211.756709
-14.0,2443,1252.782187
-12.0,2389,1292.808401
-17.0,1921,1325.066132
-17.0,2424,1365.584618
-15.0,1989,1398.757191
-16.0,2155,1435.593178
-13.0,2307,1474.954331
-15.0,2208,1512.167367
-11.0,2514,1554.136088
-12.0,2623,1598.002216
-9.0,2516,1639.953624
-10.0,2387,1679.775854
-3.0,3105,1731.872996
-7.0,2763,1778.699434
-10.0,2230,1816.772098
-8.0,2700,1861.863997
-4.0,3807,1926.122221
-10.0,2272,1964.074477
-5.0,3204,2017.650287
-4.0,2958,2067.204558
-5.0,3505,2126.470297
-12.0,2199,2162.969488
-10.0,2661,2207.333694
-9.0,2693,2252.454317
-3.0,3173,2305.384222
-3.0,3637,2366.344054
13.0,2686,2412.214521
-5.0,3012,2463.1834
8.0,2831,2510.738591
-8.0,2664,2555.142428
2.0,3464,2612.336718
-1.0,3418,2668.593204
-5.0,2657,2712.43353
2.0,3523,2770.800918
7.0,2858,2817.920791
7.0,2910,2866.175799
10.0,2761,2911.961762
-10.0,2632,2955.609644
-11.0,1916,2987.181159
-6.0,3018,3037.027181
14.0,2289,3074.791955
10.0,2312,3112.924058
5.0,3120,3164.625265
6.0,2638,3208.036644
16.0,2108,3242.731565
12.0,2384,3281.854029
13.0,2481,3323.058969
-1.0,3466,3380.217129
11.0,2837,3426.991137
2.0,2759,3472.464132
-2.0,3352,3528.082856
9.0,2837,3575.376979
