#{"t_start": 1511927494.5718412, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,996,17.163359
-17.0,1865,48.299718
-18.0,1717,77.295814
-16.0,2127,113.047904
-17.0,1769,142.994754
-19.0,1301,164.740398
-16.0,1800,194.747148
-16.0,1620,221.979134
-16.0,1924,255.357098
-16.0,1966,288.141476
-15.0,1689,316.496519
-15.0,1952,350.15973
-11.0,2234,387.959368
-16.0,1995,421.387196
-18.0,1779,451.374593
-15.0,2120,486.899066
-17.0,1903,518.812189
-17.0,2000,552.941114
-14.0,2320,591.639137
-18.0,2069,626.615849
-19.0,1454,650.917712
-15.0,1867,681.991456
-12.0,2144,717.78427
-17.0,1711,746.337687
-16.0,1962,779.167127
-15.0,2071,813.873437
-17.0,1966,847.09003
-15.0,2220,884.167922
-18.0,2238,921.529145
-10.0,2459,962.923994
-14.0,2348,1002.425366
-18.0,1729,1031.462038
-12.0,2135,1067.079501
-16.0,1453,1091.348514
-15.0,2573,1134.665877
-16.0,2073,1169.671923
-11.0,2681,1214.503789
-10.0,2594,1258.02985
-17.0,1627,1285.297693
-17.0,2100,1320.476962
-13.0,2594,1363.904535
-18.0,1961,1396.590345
-7.0,2560,1440.375951
-12.0,2159,1477.155332
-13.0,2416,1517.769016
-11.0,2689,1562.766304
-10.0,2528,1604.991518
-6.0,2452,1645.854005
-9.0,2502,1687.559056
-6.0,3017,1738.295119
-10.0,2993,1789.080158
-8.0,2908,1838.441774
-14.0,2035,1872.596999
4.0,3393,1929.633364
-10.0,2498,1971.416463
-13.0,2313,2010.034171
-4.0,3443,2067.716735
-9.0,2486,2109.849126
-13.0,2287,2147.978551
-6.0,3069,2199.121957
-2.0,3267,2253.817287
-7.0,2668,2298.285416
-11.0,2351,2337.70547
-5.0,3257,2392.549477
-6.0,2978,2443.366349
-6.0,2828,2490.819051
-9.0,3041,2541.941208
7.0,2912,2590.126513
-4.0,3432,2646.509483
-6.0,2473,2687.277879
-9.0,2529,2729.137289
7.0,3009,2778.873066
9.0,2779,2824.849652
-5.0,2800,2871.259743
10.0,2463,2912.050028
6.0,2990,2961.62084
-7.0,2336,3000.171618
-1.0,3459,3057.221648
9.0,2558,3099.459841
13.0,2210,3136.146773
12.0,2424,3176.133355
15.0,2069,3210.134279
7.0,3096,3261.109827
11.0,2641,3304.550138
12.0,2455,3345.31744
11.0,2440,3385.509544
9.0,2896,3433.253305
8.0,2431,3473.303693
12.0,2414,3513.433433
1.0,3384,3569.789054
17.0,1978,3602.326099
