#{"t_start": 1511927495.1546354, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,1247,20.766016
-21.0,1094,39.125174
-16.0,1880,70.751265
-15.0,2122,106.34792
-17.0,1869,137.919262
-16.0,2005,171.566726
-15.0,2107,206.74639
-16.0,1827,237.970258
-15.0,1651,266.13928
-16.0,1756,295.450619
-18.0,1486,320.46322
-16.0,2058,356.195687
-20.0,1311,378.251119
-14.0,1966,411.228523
-13.0,2066,445.943861
-21.0,1479,470.711505
-13.0,2428,511.412514
-10.0,2280,550.155624
-16.0,2412,590.515939
-12.0,2390,630.830193
-17.0,1708,659.342932
-19.0,1536,684.949414
-17.0,1803,715.027861
-19.0,1506,740.172797
-12.0,2716,785.546722
-14.0,2140,821.525343
-18.0,2055,856.264147
-16.0,1986,889.303049
-15.0,2336,928.371883
-18.0,1718,957.308636
-10.0,2649,1001.87362
-15.0,2216,1039.019368
-13.0,2280,1077.125719
-14.0,2584,1120.487804
-13.0,2509,1162.850963
-14.0,2142,1198.623012
-13.0,2665,1243.370927
-15.0,2416,1283.877897
-12.0,2257,1321.706082
-13.0,2370,1361.391486
-12.0,2606,1405.069702
-14.0,1971,1438.745883
-12.0,2139,1475.218363
-13.0,2703,1520.650601
-9.0,2804,1567.551742
-11.0,2761,1613.626674
-15.0,2395,1653.590719
-3.0,3085,1705.258454
-11.0,2520,1747.67029
-5.0,3425,1805.855545
-6.0,2791,1852.809088
-9.0,2777,1899.695525
-8.0,2978,1949.527378
-9.0,2544,1992.001621
-9.0,2790,2038.752029
-10.0,2443,2079.635003
-2.0,3257,2134.68541
-14.0,2197,2171.223106
-3.0,3068,2222.353997
-2.0,3879,2287.291493
-5.0,3354,2343.445056
9.0,2876,2391.891449
-1.0,3697,2454.888839
7.0,3205,2508.65805
-3.0,2965,2558.180061
6.0,2856,2605.331816
-3.0,3755,2667.091131
-9.0,2686,2711.456941
5.0,2716,2756.201887
11.0,2613,2799.510588
9.0,2593,2842.613085
7.0,2739,2887.793377
9.0,2851,2935.030237
4.0,2463,2975.883562
2.0,3665,3036.402017
7.0,2740,3081.617925
8.0,2712,3126.401929
10.0,2536,3168.426561
12.0,2197,3204.546956
-3.0,3135,3256.196719
9.0,2754,3301.455716
15.0,2352,3340.526088
8.0,2809,3386.864284
10.0,2840,3433.63973
-3.0,2576,3476.111489
10.0,2518,3517.931957
13.0,2703,3563.010879
14.0,2172,3598.803116
