#{"t_start": 1511927494.8153887, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-17.0,1827,30.874506
-17.0,1337,53.13239
-15.0,1796,83.475203
-17.0,1700,112.052074
-19.0,1686,140.573443
-19.0,1531,166.216404
-17.0,1488,191.026149
-16.0,1638,218.441594
-20.0,1504,244.398446
-17.0,1622,271.947467
-18.0,1785,301.72805
-16.0,1662,329.77806
-15.0,2054,365.329763
-16.0,1679,393.50746
-16.0,2049,427.84202
-15.0,1987,461.293362
-17.0,1567,487.600325
-8.0,2470,529.069296
-16.0,2072,564.391199
-16.0,1939,596.641538
-19.0,1531,622.591616
-16.0,1810,652.85927
-13.0,2177,689.169695
-13.0,2225,726.312415
-19.0,1723,755.04749
-16.0,2061,789.628153
-15.0,1956,822.392511
-11.0,2426,863.255663
-10.0,2649,907.432214
-14.0,2171,943.924624
-12.0,2095,979.223328
-16.0,2108,1014.579572
-13.0,2050,1048.883943
-15.0,2101,1083.996635
-15.0,2400,1124.309386
-17.0,2030,1158.596393
-15.0,2272,1196.567137
-14.0,2172,1233.06372
-14.0,2135,1268.764113
-18.0,2084,1303.753007
-15.0,2035,1338.059073
-19.0,1755,1367.231334
-9.0,2844,1415.125625
-11.0,2721,1461.667681
-15.0,1891,1493.513915
-10.0,2456,1534.724015
-12.0,2429,1575.351976
-12.0,2933,1624.301514
-11.0,2309,1662.835133
-11.0,2503,1704.756109
-9.0,2700,1750.234747
-9.0,2696,1795.96393
-11.0,3011,1846.83389
-12.0,2791,1893.776049
-9.0,2488,1935.595511
-10.0,2753,1981.587487
-9.0,2703,2026.852551
-2.0,3720,2089.243659
-10.0,2871,2137.650579
-6.0,3321,2192.927849
-10.0,2825,2240.287516
-6.0,3153,2292.861801
-3.0,3411,2350.008151
-9.0,3101,2402.372272
-3.0,3086,2454.955945
7.0,2758,2501.112401
1.0,3251,2555.59569
-4.0,3572,2614.538333
2.0,3092,2665.365908
-1.0,3212,2718.497776
8.0,2997,2767.821972
1.0,3422,2824.661213
8.0,2718,2869.682557
-2.0,3190,2922.502805
-6.0,2701,2967.294966
4.0,3469,3024.506103
12.0,2597,3067.420388
-2.0,3083,3118.25852
12.0,2334,3156.957424
6.0,2771,3202.645899
16.0,2122,3237.471986
4.0,2942,3285.878014
7.0,2569,3328.539481
4.0,3527,3386.722479
4.0,3070,3437.353489
-3.0,2850,3484.280516
16.0,2120,3519.568733
8.0,2731,3565.110459
15.0,2115,3599.934563
