#{"t_start": 1511927494.7479308, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-18.0,1616,27.455408
-17.0,1577,53.697737
-14.0,1846,84.882549
-14.0,1829,115.594653
-21.0,1413,139.533894
-18.0,1586,166.087516
-15.0,2064,200.51789
-20.0,1553,226.774041
-18.0,1546,253.683655
-15.0,1825,284.117076
-16.0,1647,311.750139
-19.0,1530,337.834465
-19.0,1789,368.639301
-17.0,1526,394.222911
-18.0,1938,426.697549
-19.0,1455,451.281498
-20.0,1238,471.976233
-20.0,1796,502.061947
-16.0,1725,531.135688
-16.0,1753,561.072831
-12.0,2418,601.366588
-14.0,2158,637.781064
-17.0,1859,668.795512
-12.0,1956,701.419744
-17.0,1703,729.872617
-14.0,1983,763.000123
-17.0,1601,789.879266
-14.0,2244,827.474577
-15.0,2152,863.694643
-11.0,2825,910.814826
-16.0,1775,940.610947
-16.0,2087,975.847152
-14.0,1912,1007.8537
-16.0,1977,1041.018935
-15.0,2235,1078.378052
-15.0,2434,1119.145943
-10.0,2544,1162.150638
-16.0,2017,1195.835421
-17.0,1814,1226.270249
-14.0,2207,1263.267156
-14.0,2385,1303.264941
-13.0,1994,1336.903645
-16.0,1983,1369.863703
-16.0,1899,1401.628033
-18.0,2044,1436.559655
-14.0,2083,1472.096043
-12.0,2477,1513.817342
-16.0,2179,1550.154266
-13.0,2218,1587.296155
-9.0,2664,1631.733781
-14.0,2188,1668.331479
-6.0,2762,1714.463387
-15.0,1589,1741.231639
-3.0,3251,1796.454781
-11.0,2655,1841.378917
-15.0,1750,1870.859684
-5.0,2909,1919.783418
-8.0,3022,1970.25674
-8.0,2779,2016.67251
-11.0,2455,2057.874949
-5.0,3058,2109.53281
-6.0,3162,2162.238846
3.0,3456,2219.850872
2.0,3654,2280.99533
4.0,3212,2334.791639
1.0,3309,2390.462557
3.0,3187,2444.874978
-8.0,2978,2494.800951
-3.0,2832,2542.424865
-2.0,3552,2601.082854
-1.0,3735,2662.495883
-15.0,1454,2686.480056
-3.0,2825,2733.235419
3.0,3703,2794.37234
-4.0,3004,2844.3023
3.0,2928,2892.618932
-3.0,2874,2940.223274
-7.0,2652,2984.150559
11.0,2587,3026.8521
6.0,3164,3079.11951
-4.0,3146,3131.346967
17.0,1990,3164.074447
13.0,2229,3200.743593
13.0,2300,3238.521313
-1.0,3591,3297.644164
11.0,2576,3340.433703
13.0,2438,3380.610658
18.0,2005,3413.639914
-8.0,2512,3455.091222
1.0,2949,3503.975432
13.0,2391,3543.496212
12.0,2476,3584.722564
