#{"t_start": 1511927495.1778567, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1355,22.563087
-19.0,1719,51.257283
-16.0,1864,82.719862
-15.0,1675,110.908813
-17.0,1555,137.119737
-18.0,1701,165.720095
-16.0,2063,200.122841
-16.0,1719,229.348859
-18.0,1471,254.815041
-14.0,2127,290.282997
-16.0,1578,316.787822
-13.0,1975,350.894091
-17.0,1532,376.887851
-12.0,2294,415.321497
-16.0,1882,447.013652
-15.0,2064,481.620493
-11.0,2045,515.87452
-15.0,2018,550.233078
-15.0,2139,586.01342
-17.0,1986,619.520219
-18.0,1644,647.093677
-12.0,2224,684.120932
-11.0,2199,720.816078
-17.0,1929,753.036545
-11.0,2845,800.779338
-17.0,2318,839.742002
-18.0,1872,871.106243
-14.0,1838,901.726031
-17.0,1554,927.755395
-16.0,2348,967.25686
-12.0,2075,1002.229071
-16.0,1959,1035.047894
-14.0,2244,1072.558246
-18.0,1859,1103.551301
-12.0,2497,1145.69568
-17.0,2145,1181.802795
-21.0,1620,1208.862803
-16.0,2012,1242.635883
-13.0,2447,1283.675154
-14.0,2085,1318.607607
-13.0,2727,1364.294625
-15.0,2172,1400.577104
-15.0,2122,1436.886815
-15.0,1979,1470.629163
-14.0,2008,1504.267229
-10.0,2820,1551.600085
-9.0,2682,1596.489821
-12.0,2162,1632.561816
-11.0,2069,1667.12269
-6.0,2947,1716.386664
-8.0,3308,1772.350688
-8.0,2722,1818.776083
-7.0,2873,1866.763492
-3.0,3198,1920.823532
-3.0,3368,1977.075516
-9.0,2377,2016.801308
-7.0,2870,2064.895921
-1.0,3592,2125.623319
-9.0,2520,2167.481813
-7.0,2719,2212.792742
-11.0,2767,2259.154757
-7.0,3271,2313.806593
7.0,2828,2361.164026
-5.0,3216,2415.94438
8.0,2802,2463.376869
5.0,3131,2516.066673
4.0,3256,2569.996282
-6.0,2786,2616.031128
-4.0,3124,2667.431546
-2.0,2793,2713.558425
3.0,3105,2764.694236
-2.0,3395,2821.058072
4.0,2959,2870.103993
12.0,2482,2911.212439
4.0,2902,2959.335564
-5.0,2586,3002.014967
2.0,3245,3055.52842
1.0,3444,3112.385609
-3.0,3269,3166.546944
16.0,1908,3197.953644
10.0,2581,3240.412654
2.0,3199,3293.005953
11.0,2433,3333.447493
18.0,1790,3362.990396
14.0,2213,3399.435477
13.0,2206,3435.778272
-1.0,2984,3484.965245
12.0,2605,3528.233962
13.0,2237,3565.620932
