#{"t_start": 1511927495.3280454, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,1519,25.206616
-15.0,1991,58.440672
-17.0,1769,88.300663
-15.0,2194,125.145345
-16.0,1888,157.123832
-16.0,2176,193.378197
-20.0,1409,216.964699
-19.0,2041,252.408046
-17.0,1874,283.696874
-14.0,1870,315.057297
-18.0,1783,345.74754
-18.0,1662,374.104929
-19.0,1926,406.400961
-15.0,1892,438.264313
-18.0,1795,468.291829
-16.0,1982,501.518204
-16.0,1967,534.666017
-15.0,2069,569.768168
-17.0,2085,604.587832
-18.0,1679,632.949552
-8.0,2281,671.035325
-10.0,2422,711.469532
-19.0,1701,739.817214
-17.0,1892,771.451176
-13.0,2216,808.583166
-15.0,2208,845.851685
-15.0,2233,883.159061
-16.0,1854,914.088604
-16.0,1895,946.048079
-13.0,2559,989.06479
-17.0,2148,1025.110913
-17.0,1852,1056.048498
-12.0,2663,1100.486787
-16.0,1971,1133.766399
-19.0,1897,1165.800356
-11.0,2488,1207.352105
-14.0,2199,1244.332392
-14.0,2432,1285.112587
-14.0,2343,1324.433446
-18.0,1621,1351.575772
-15.0,2193,1388.065854
-15.0,2363,1428.304729
-16.0,1774,1458.619642
-13.0,2261,1496.735246
-10.0,2868,1544.813596
-8.0,2780,1591.305911
-12.0,2452,1632.253943
-12.0,2359,1671.692997
-8.0,3244,1725.889286
-13.0,2593,1769.855815
-8.0,2691,1815.739318
-10.0,2564,1858.614585
-14.0,2177,1895.415426
-10.0,2341,1934.683853
-3.0,3513,1993.385145
2.0,3518,2052.468656
4.0,2851,2100.389933
-13.0,2427,2141.089934
-11.0,2619,2184.769508
-7.0,2727,2230.527313
-6.0,2849,2277.842597
-3.0,3103,2329.821907
-8.0,3055,2381.054949
-6.0,2811,2429.167657
8.0,2862,2477.331034
-7.0,2826,2525.046318
-1.0,3426,2581.526339
-6.0,2686,2625.953943
-7.0,2669,2669.888784
-2.0,2788,2715.931962
4.0,3307,2770.689875
5.0,3080,2821.552072
4.0,2842,2868.621517
18.0,2134,2903.928694
7.0,2718,2948.981588
-4.0,2667,2993.109675
6.0,3274,3047.170298
12.0,2424,3087.177515
9.0,2640,3131.028931
14.0,2210,3167.37193
9.0,2924,3215.486739
12.0,2496,3256.610558
7.0,2612,3299.515446
6.0,3002,3349.348747
15.0,2285,3387.019882
15.0,2144,3422.290801
6.0,2694,3466.698899
16.0,1990,3499.818964
-3.0,2832,3546.629762
10.0,2545,3588.986241
