#{"t_start": 1511927495.0548136, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-16.0,1571,26.387933
-18.0,1957,59.017264
-18.0,1523,84.774582
-17.0,1809,115.153787
-18.0,1816,145.941862
-16.0,1906,177.745932
-19.0,1677,205.711527
-20.0,1235,226.652408
-16.0,1913,259.686053
-10.0,2234,296.964449
-17.0,1513,322.451362
-17.0,1519,348.747296
-18.0,1408,372.718009
-17.0,2123,408.365921
-16.0,2341,447.743824
-19.0,1690,476.031866
-17.0,1590,502.684859
-17.0,2223,540.18662
-19.0,1578,567.030945
-17.0,1817,597.265501
-11.0,2350,636.923038
-20.0,1984,670.017141
-18.0,1713,698.568106
-17.0,1669,726.473105
-16.0,1871,757.717082
-15.0,1747,786.838628
-14.0,2163,823.229489
-13.0,2165,859.752038
-10.0,2633,903.618105
-16.0,1882,935.172526
-17.0,1712,963.986655
-12.0,2710,1009.579796
-13.0,2140,1045.424629
-16.0,1891,1077.008068
-17.0,1708,1105.518125
-13.0,2140,1141.639604
-15.0,1919,1174.01272
-15.0,2361,1213.489575
-12.0,2226,1250.87224
-17.0,1801,1280.999274
-11.0,2836,1328.636791
-14.0,2022,1362.419964
-16.0,1993,1395.61167
-14.0,2091,1431.379511
-12.0,2448,1473.150919
-15.0,1994,1506.525564
-18.0,1756,1536.086852
-15.0,2033,1570.074382
-16.0,2235,1607.433372
-2.0,3403,1664.216999
-10.0,2775,1710.66593
-13.0,2662,1755.579183
-11.0,2491,1797.848688
-6.0,3167,1851.279132
-10.0,2792,1898.397284
-9.0,2750,1944.400014
-7.0,2727,1989.949237
-4.0,3208,2043.638812
2.0,3597,2104.38438
-11.0,2698,2149.480212
-9.0,2863,2197.155793
-1.0,3269,2251.894354
-3.0,3206,2305.406438
1.0,3488,2363.852838
-4.0,3457,2422.713428
-7.0,3249,2477.510503
-1.0,3253,2532.38264
-3.0,3043,2582.449747
-11.0,2608,2625.573348
-1.0,3011,2675.164485
5.0,2751,2720.61404
-1.0,3419,2777.121214
1.0,3574,2836.319938
10.0,2285,2874.137653
15.0,2226,2910.991322
-2.0,3349,2966.502089
7.0,2778,3012.345284
5.0,3250,3065.988101
4.0,2764,3111.572934
7.0,2803,3158.042693
16.0,2188,3194.067261
15.0,2133,3229.1439
7.0,2989,3278.287554
10.0,2744,3323.814957
17.0,1899,3355.18843
-2.0,3356,3410.459645
12.0,2211,3446.937882
6.0,2831,3493.890423
3.0,3134,3545.677972
9.0,2830,3592.710093
